4db7ebe0-0ebd-432d-a9ea-03106f8c5094,Abby Davidson,abby.davidson@evilcorp.com,555-220-6327,Finance
d20e8f0b-7b5a-4adc-bf67-c9b4034a07a8,Bella Steinsland,bella.steinsland@evilcorp.com,555-553-2263,Finance
4d76997d-89b4-42a8-be6f-2320eb981763,Bernhard Buchner,bernhard.buchner@evilcorp.com,555-567-3916,Management
8f52a735-4710-468f-b562-9f2ded7888cd,Carla Strand,carla.strand@evilcorp.com,555-436-3801,IT-Support
0cc61e19-294a-4861-b3a7-3c9030185330,Elizabeth Byrd,elizabeth.byrd@evilcorp.com,555-674-7621,Finance
b13788a4-2244-43df-b0e0-61f567aabd95,Hubertus Mehlhorn,hubertus.mehlhorn@evilcorp.com,555-363-7710,Management
7d1c0004-073e-4fce-a1b5-03c05b936c1f,Ismet Lehmann,ismet.lehmann@evilcorp.com,555-003-5750,Management
3b3a5b47-cb74-4c99-b8f4-4239122b8e62,Julie Kausar,julie.kausar@evilcorp.com,555-636-5986,Management
a45fd7cf-5f86-490d-ab18-264be4d0e826,Steffi Reuther,steffi.reuther@evilcorp.com,555-480-7872,Finance
fbb70d1f-24f9-4dda-935f-56b648e4f799,Vedran Slaman,vedran.slaman@evilcorp.com,555-091-9805,Marketing
